"pounds_purchased","order_amount","farm_name","coordinates","lat","lon","order_date"
52.5,330,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-10-01
40,306.72,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2020-10-01
80,448.75,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-10-01
154,231,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-10-01
300,450,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-10-01
240,324,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-10-01
125,513,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-10-01
408,837,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-10-01
265.6,240,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-11-01
87.5,360,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-11-01
25,136.8,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-11-01
100,922.5,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-11-01
200,1306,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-11-01
5.6,582,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-11-01
20,612,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-11-01
NA,384,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-11-01
300,202.5,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-11-01
26.25,432,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-11-01
48,1051,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-12-01
200,435,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-12-01
180,121.5,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-12-01
250,558,"Oxbow Farm","47.6777367,-122.0058828",47.6777367,-122.0058828,2020-12-01
20,538,"Carnation Farms","47.6782554,-121.9544722",47.6782554,-121.9544722,2020-12-01
100,400,"Local Roots Farm","47.6349728,-122.0819622",47.6349728,-122.0819622,2020-12-01
200,1218.6,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2020-12-01
65.5,270,"Terrebonne Truck Patch","47.4696065,-122.0770412",47.4696065,-122.0770412,2020-12-01
40,627.23,"Steel Wheel Farm","47.5774188,-121.9111799",47.5774188,-121.9111799,2020-12-01
80,382,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-08-01
NA,424,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-08-01
40,218,"Sound Sustainable Farms","47.710736,-122.1552711",47.710736,-122.1552711,2020-09-01
