"farm_name","order_date","pounds_purchased","order_amount"
"Carpinito",2020-12-23,"75",390
"Carpinito",2020-12-30,"75",395
"Mosby",NA,"17",NA
"Carpinito",2020-11-05,"262",1810
"Mosby",NA,"271.5",NA
"Carpinito",2020-11-09,"315",7200
"Mosby",NA,"405",NA
"Carpinito",2020-11-09,"210",4800
"Mosby",NA,"480",NA
"Cascadia Produce",2020-11-11,"1050",3510
"Carpinito",2020-11-11,"162",3700
"Carpinito",2020-11-11,"197",4500
"Cascadia Produce",2020-11-11,"1800",3600
"Cascadia Produce",2020-11-18,"2268",4536
"Cascadia Produce",2020-11-24,"2268",4536
"Carpinito",2020-12-01,"15",1200
"Mosby",NA,"120",NA
"Carpinito",2020-12-04,"66",1500
"Mosby",NA,"150",NA
"Carpinito",2020-12-04,"44",1000
"Mosby",NA,"100",NA
"Sound Sustainable Farm",2020-11-23,"18",211.75
"Sound Sustainable Farm",2020-12-08,"4",101.6
"SnoValley Gardens",2020-12-22,"5",220
"Cascadia Produce",2020-11-24,"1500",9638
"Namuna Garden, Krishna",2020-08-19,"19",76
"Namuna Garden, Krishna",2020-08-26,"50",140
